country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Panama,,,,0.253,0.391,0.471,0.515,0.53,3.34,4.37,5.6,6.58,7.12,7.66,7.84,8.03,7.97,7.98,10.7,10.8,13,12.6,13.8,14.8,16.4,18.1
Peru,,0.00029,0.00405,,0.137,0.34,0.817,1.25,1.71,2,2.53,2.86,3.21,4.14,4.88,5.41,5.87,6.56,6.87,7.38,8.1,7.39,8.41,9.06,9.45,10.4
Philippines,,,,0.0123,0.0253,0.0649,0.103,0.14,0.296,0.545,1.13,1.82,,1.82,2.14,2.52,2.79,2.75,2.8,3.14,3.46,5.7,7.08,8.51,7.64,6.54
Palau,,,,,,,0.373,0.505,0.495,0.523,0.584,0.759,1.3,2.87,5.05,10.2,6.27,6.89,,,,,,,6.99,7.33
Papua New Guinea,,,,,,,,,,,0.0416,0.0601,0.0799,0.0954,0.114,0.136,0.155,0.172,0.19,0.196,,0.208,0.214,0.21,0.215,
Poland,,,,0.0314,0.318,0.512,2.29,2.48,7.65,11,11.7,14.7,15.4,18.2,18,18.4,18.9,19,19.2,20,20.5,20.5,21.9,22.8,23.8,26.1
Portugal,,0.0029,0.245,0.959,2.5,4.8,8,11.1,13.5,14.5,15.5,18.1,20.1,21.2,22.7,24.5,27.5,30.3,32.6,34.6,36.7,38.4,40.1,41.5,42.9,44.1
Paraguay,,,0.00294,0.00578,0.0095,0.00939,0.0566,0.103,0.109,0.155,0.228,1.37,1.56,2.07,2.31,2.62,3.05,3.49,3.95,4.58,4.99,6.33,8.52,10.8,11.2,12.9
Palestine,,,,,,,0.00052,0.21,0.745,1.49,,,,3.79,4.42,4.94,5.32,6.07,6.92,7.59,7.51,7.36,7.43,8.01,7.94,8.37
French Polynesia,,,,0.0102,0.0129,0.376,1.78,4.24,6.93,8.86,10.3,11.1,11.9,13.2,14.7,16.3,18,18.7,19.9,20.6,21.4,22.2,22.9,26.7,27.9,35.6
Qatar,,,,,0.0321,0.402,1.41,3.1,4.81,7.25,7.44,9.13,8.53,9.09,9.71,10.6,10.2,9.8,9.76,9.48,9.7,10.2,10.6,11.1,12.6,11.6
Romania,,,,0.0274,0.0726,0.908,0.487,1.78,5.18,9.35,12.2,13.7,14.7,16.2,17.6,18.9,20.1,21.4,22.5,24.1,26,27.1,29.3,31.7,33.2,34.7
Russia,,,,,0.00754,0.235,0.465,1.1,2.01,3.41,6.45,8.97,10.9,12.2,14.5,16.4,17.2,18.5,18.9,21.3,21.9,22.4,23.2,23.7,24.6,25.8
Rwanda,,,,,,,0.013,0.013,0.0183,0.0266,0.0114,0.022,0.0382,0.0818,0.0508,0.0251,0.0257,0.181,0.182,0.178,0.0601,0.0695,0.135,0.239,0.35,0.446
Saudi Arabia,,,,0.0822,0.194,0.245,0.349,0.33,1.02,2.79,4.5,5.94,6.8,7.48,9.39,,,21.1,20.8,21.6,22.5,22.3,25.5,33.8,41.8,43.6
Sudan,,,,,,,0.0026,0.00406,0.00645,0.13,0.133,,0.0381,0.0482,0.0671,0.068,0.0532,0.0702,0.0639,0.0715,0.0709,0.0719,0.0615,0.0633,0.0604,
Senegal,,,,,0.0115,0.0222,0.0698,0.16,0.252,0.324,0.393,0.476,0.622,0.715,0.718,0.778,0.73,0.689,0.654,0.722,0.816,0.93,1.06,1.21,1.4,1.97
Singapore,0.259,0.756,1.71,3.67,6.51,10.1,13.1,15.4,17.9,20.1,22.3,24.8,26.4,27.2,27.1,27.7,27,26.9,28.5,26.3,26.5,26.5,26.9,27.5,27.6,27.4
Solomon Islands,,,,,,,0.0421,0.0931,0.132,0.2,0.295,0.386,0.473,0.439,0.372,0.317,0.216,0.222,0.247,0.17,0.21,0.144,0.134,0.131,0.107,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,0.00222,0.00227,0.00227,,
El Salvador,,,,,,0.327,0.488,0.705,1.02,1.49,2.05,2.47,2.89,3.38,3.96,4.63,5.17,5.71,6.38,7.26,7.91,8.44,9.4,9.81,11.1,11.6
San Marino,,,,,,2.15,3.82,4.27,5.11,5.45,16.5,18.1,19.6,20.3,29.6,30.4,34.7,34.3,35.1,30.5,31.4,32,31.6,34.7,35.8,
Somalia,,,,,,,,,,,,,,,0.321,0.466,0.525,0.594,0.641,0.657,,0.611,0.715,0.689,0.668,0.723
Serbia,,,,,,,,0.448,1.64,4.4,6.21,8.06,11.8,13.4,14.8,16.4,16.7,18.7,20.6,21.1,22.3,23.4,25.2,26.5,29.3,31.3
South Sudan,,,,,,,,,,,,,20µ,40µ,0.00016,0.0009,0.00089,0.00135,0.00139,0.00195,0.00198,0.00192,,0.00184,0.00181,0.00174
Sao Tome and Principe,,,,,,,,,0.0755,0.181,0.198,0.249,0.322,0.397,0.411,0.506,0.559,0.656,0.7,0.715,0.741,0.769,1.16,1.54,2.02,2.5
Suriname,,,,,0.0189,0.0427,0.0817,0.213,0.506,0.792,1.07,1.67,2.75,4.16,5.2,6.52,8.06,9.06,12.1,12,12.2,13.3,15.1,19.9,20,17.5
Slovak Republic,,,,,0.0759,0.418,1.47,3.38,5.67,10.2,11.2,14.4,16.3,17.7,19.3,20.5,22,23.5,24.6,25.9,27.7,29.2,31.2,32.6,34,33.2
Slovenia,,,,0.276,2.85,2.91,5.77,9.85,14,17.1,21,22.1,23,24.1,24.8,25.5,27,27.6,28.6,29.2,29.6,30.1,31,31.6,32,31.9
Sweden,,,2.81,6.6,9.41,12.2,15.7,27.9,27.4,30.4,31.5,31.7,32,32,32.3,32.8,33.8,35.7,37.1,38.3,38.7,39.3,40.4,40.8,40.6,40.7
Eswatini,,,,,,,,,,,0.0703,0.136,0.329,0.718,0.305,0.372,0.449,0.525,0.609,1.34,1.87,2.04,2.29,2.55,2.19,2.76
Seychelles,,,,,,,0.396,1.06,2.74,3.82,3.69,4.86,7.15,9.7,10.6,12.2,11.3,12.5,12.8,13.5,17.1,22.9,29.1,33.6,29.8,30.8
Syria,,,,,,,0.00327,0.0143,0.0266,0.0333,0.0511,0.158,0.311,0.53,1.06,1.6,2.47,3.75,5.26,7.4,6.79,7.34,7.35,7.29,7.16,6.86
Chad,,,,,,,,,,,,0.0025,0.00269,0.124,0.147,0.107,0.0714,0.0774,0.0339,0.00212,0.00207,0.00041,0,0,0,0
Togo,,,,,,,,,,0.0194,0.03,0.0636,0.404,0.492,0.584,0.0949,0.169,0.862,0.621,0.627,0.317,0.377,0.608,0.749,1.04,1.23
Thailand,,,,0.00253,,0.0179,0.252,0.841,1.34,1.93,3.07,3.85,4.74,5.64,6.51,7.43,7.75,8.83,10.2,11.5,12.9,14.1,16,17.3,17.5,15.7
Tajikistan,,,,,,0.00015,,,,0.0507,0.0498,0.0587,0.0614,0.0642,0.0674,0.0706,0.0724,0.0694,0.0677,0.066,,0.063,0.0615,0.0602,0.0613,
Turkmenistan,,,,,,,,,,,0.0014,0.00853,0.013,0.0193,0.0241,0.0303,0.0379,0.454,0.734,1.16,1.71,2.6,3.4,4.08,5.22,
Timor-Leste,,,,,,0.00098,0.0014,0.00232,0.00297,0.00498,0.00688,0.0445,0.0461,0.0495,0.0529,0.0604,0.087,0.0853,,0.267,0.00549,0.00684,0.00626,0.0101,0.01,0.00578
Tonga,,,,,0.0106,0.0211,0.318,0.61,0.596,0.731,0.674,0.933,1.02,1.21,1.4,1.59,1.69,2.32,2.84,2.85,2.39,3.5,4.73,6.46,8.17,
Trinidad and Tobago,,,,,0.0132,0.066,0.315,0.799,1.52,2.6,6.23,9.43,11.7,12.4,14.3,15,17.5,19.5,17.8,22.6,23.3,22.9,25.4,24.9,26,26.9
Tunisia,,,,,0.00026,0.00257,0.0279,0.171,0.424,0.919,2.16,3.5,4.48,5.14,4.79,4.67,5.03,5.03,5.55,6.88,8.62,10.1,11.1,12.4,13.9,14.1
Turkey,,,,0.0165,0.0316,0.294,0.843,2.29,3.96,6.72,8.04,8.9,9.68,10.2,10.5,11.6,11.4,11.9,12.9,14.4,15.9,16.7,19.4,20.9,21.8,22.5
Tuvalu,,,,,,,0.509,1.51,2.49,2.65,2.81,0.956,2.26,4.17,4.12,4.09,4.1,4.1,4.12,4.14,,,,4.41,4.52,
Tanzania,,,,,,,,0.00661,0.00744,0.00819,0.0151,0.0159,0.0169,0.0614,0.0872,0.116,0.168,0.204,0.592,1.37,1.5,1.76,1.86,1.98,2.21,2.5
Uganda,,,,,,,,0.00304,0.0042,0.00627,0.0157,0.0191,0.0432,0.106,0.112,0.117,0.152,0.215,0.237,,,0.0753,0.0778,0.0839,0.0851,0.0913
Ukraine,,,,,,,,0.277,1.12,1.72,3.46,4.15,6.45,6.96,8.04,8.86,9.31,11.6,12,12.4,12.8,16.2,18.6,18.3,17.5,19.7
Uruguay,,,,,,,0.822,1.48,3.24,5.01,7.41,9.59,11.6,14.2,17.4,22,25,26.7,27.3,28.1,28.8,29.8,31.3,32.5,33.5,32.4
USA,0.256,0.987,2.51,4.5,6.93,9.57,12.8,17.3,20.2,23.8,25.3,26,27.2,28.1,29.2,30,30.3,31.3,32.1,32.6,33.1,33.8,35.7,37,37.5,38.1
Uzbekistan,,,,,,0.0107,0.0212,0.0314,0.0324,0.0708,0.24,0.318,0.416,0.513,0.754,1.03,2.71,5.81,8.78,10.4,12.7,10.6,15.8,21.9,25.8,30.3
St. Vincent and the Grenadines,,,,0.0714,0.958,1.01,1.17,3.24,5.02,7.15,8.43,10.4,11.4,12.1,12.5,13.5,13.7,15.9,20.6,18.2,23.5,20.8,23.9,27.1,29,30.5
Venezuela,,,0.0182,0.147,0.307,0.452,0.798,1.33,1.97,3.1,3.97,4.93,5.81,6.22,6.89,7.47,7.93,8.47,8.5,8.53,8.74,8.85,9.01,9.24,9.58,10.6
British Virgin Islands,,,,,,,,,,,,28.3,24.9,25.4,24.5,19.5,19.4,19.3,18.4,15.3,13.6,16.3,19.1,20.9,17.8,
Vietnam,,,,,0.00137,0.0115,0.0656,0.259,0.629,1.55,2.41,3.72,4.2,4.34,5.33,5.69,6.55,8.25,9.68,11.8,13.5,15.2,17,19.5,21.4,22.7
Vanuatu,,,,,,0.00747,0.0112,0.028,0.044,0.0587,0.0882,0.215,0.21,0.138,0.125,0.122,1.76,1.61,1.61,,,2.7,0.932,1.03,1.13,1.23
Samoa,,,,,,,0.0172,0.0348,0.0522,0.0689,0.0842,0.104,0.104,,0.552,0.624,1.01,1.03,1.07,0.824,0.815,0.807,0.798,0.791,0.878,
Yemen,,,,,,,,0.00657,0.0118,0.0452,0.104,0.208,0.314,0.395,0.588,0.876,1.12,1.27,0.86,1.12,1.13,1.09,1.08,1.09,1.27,
South Africa,,,,,0.00556,0.0419,0.122,0.334,0.67,0.748,0.833,0.93,1.42,1.71,2.06,2.95,3.07,2.48,2.01,1.95,1.89,2.1,2.15,2.76,3.12,3.41
Zambia,,,0.00021,0.0003,0.00045,0.00083,0.0022,0.00213,0.0193,0.0318,0.0438,0.0793,0.0735,0.114,0.101,0.0873,0.129,0.143,0.188,0.206,0.402,0.48,0.432,0.411,0.429,0.681
Zimbabwe,,,,0.00644,0.0236,0.0522,0.0725,0.0816,0.0807,0.119,0.139,0.359,0.247,0.25,0.52,0.742,1.07,1.14,1.17,1.26,1.35,1.34,1.31,1.3,1.62,1.57
