country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Switzerland,,,0.785,1.94,6.25,10.7,16.6,22.5,27.4,31.6,33.5,35.4,37.2,38.9,40.2,42.5,43.2,44.7,45.1,46.3,45.6,46.9,46.5,47.9,46.7,47.7
Chile,,,0.0495,0.425,1.19,2.2,2.96,4.33,6.13,7.81,8.48,9.73,10.4,11.6,12.4,13,13.9,15.1,15.9,16.5,17.2,17.9,19.4,22,22.8,23
China,,,0.00178,0.0263,0.256,0.867,1.92,2.85,3.86,5.01,6.21,7.74,9.35,11.5,12.8,13.7,14.4,19.8,23,27.9,28.7,31.6,33.9,37.6,41.4,44.7
Cote d'Ivoire,,,,,,0.00216,0.00422,0.00617,0.0487,0.0476,0.0465,0.0455,,,0.197,0.235,0.517,0.435,0.525,0.534,0.641,0.769,0.904,1.13,1.25,1.36
Cameroon,,,,,,,,0.00118,0.0024,0.00355,0.00463,0.00471,0.0303,0.0529,0.0665,0.079,0.0763,0.0898,1.56,1.58,1.6,1.57,2.76,2.23,2.13,
"Congo, Dem. Rep.",,,,,,,,,,,,,0,,,0.00059,0.00064,0.00123,0.00119,0.00115,0.00513,0.0128,0.0323,0.0313,0.0322,0.022
"Congo, Rep.",,,,,,,,,,,,0.00292,0.0056,0.0284,0.0294,0.00902,0.01,,,,,,,0.257,0.436,1.27
Colombia,,,0.0227,0.0348,0.0865,0.157,0.306,0.756,1.47,2.79,4.05,4.78,5.9,7.4,8.62,9.83,10.8,11.8,12.5,13.2,13.6,13.9,15.3,16.5,17,17
Comoros,,,,,,,0.00017,0.00067,,0.0133,0.0175,0.0103,0.0502,0.0599,0.181,0.187,0.222,0.22,0.22,0.217,0.198,0.162,0.148,0.15,0.219,0.388
Cape Verde,,,,,,,0.059,0.193,0.37,0.772,1.47,2.17,3.15,4.17,3.88,4.14,3.72,3.23,3.03,2.92,3.05,3.94,4.83,5.91,6.57,7.23
Costa Rica,,,,,0.221,0.359,0.665,1.05,1.93,2.17,2.48,4.06,8.7,9.11,9.62,10.3,10.8,11.6,13.1,15.1,16.8,18.1,19.7,20.9,21.8,22.5
Cuba,,,,,,,,,,0.0172,0.0199,0.0255,0.0328,0.0391,0.0444,0.0474,0.0691,0.0723,0.128,0.298,0.88,1.63,2.07,2.67,2.89,2.97
Cayman Islands,,,,,,,,,,,34.3,34.8,34.8,33.8,33.8,34.7,39,44.4,38.9,48.4,,75.7,46.6,45.6,56.4,
Cyprus,,,,0.354,0.824,1.39,2.33,4.28,8.32,12.6,18.5,21.5,23.2,24.6,25.5,26.7,28.8,30.7,32.6,34.2,35.8,36.8,37.1,37.7,37.9,38.7
Czech Republic,,,0.0244,0.0606,0.149,0.338,2.3,6.9,10.8,14.5,17,19.5,21.6,23.9,25.3,27.2,28.5,28,29.1,29.8,30.6,35.4,36.4,37.5,37.7,37.9
Germany,,,0.324,2.56,3.91,5.44,8.53,13.1,18.3,24.3,28,30.8,32.4,33.7,34.6,35.3,36.3,37.4,38.5,40,41,42.1,43.3,44.1,44.6,45.4
Djibouti,,,0.00054,0.00065,0.00075,,,0.005,0.0178,0.125,0.275,0.58,0.866,1.19,1.54,1.8,2,2.37,2.34,2.31,2.38,2.24,2.27,1.39,1.41,1.47
Dominica,,,0.117,0.256,3.27,3.87,4.74,4.95,6.25,7.26,10.2,10.6,12.1,12,12.3,15.3,15.3,21.5,22.2,22.5,16.9,22.4,27.1,21,20.9,
Denmark,,,1.25,4.44,8.39,13.3,18.8,24.8,31.9,34.9,36.5,36.6,38.1,38.5,39,40.5,41.5,42.3,43,43.6,43.8,43.6,44.4,45,44.9,44
Dominican Republic,,,,,,0.167,0.409,0.658,1.1,1.84,2.5,3.26,3.98,4.26,4.8,5.17,5.82,6.58,7.21,7.69,7.98,8.54,9.37,10.3,10.7,11.1
Algeria,,,,,,0.0559,0.11,0.408,0.506,0.84,1.39,2.3,2.49,2.66,3.07,3.33,4.08,5.67,7,7.7,7.22,8.28,8.61,9.33,10.4,12
Ecuador,,,,0.0203,0.0495,0.0517,0.0854,0.193,0.327,0.698,1.07,1.63,1.47,4.3,5.42,6.7,8.23,9.15,9.75,10.6,11.5,12.1,13.5,14,15.1,16.1
Egypt,,,,,0.0668,0.0704,0.0997,0.174,0.313,0.567,0.896,1.23,1.63,2.03,2.46,2.81,3.15,3.84,4.4,5.05,6.27,7.04,8.54,9.77,10.7,10.9
Eritrea,,,,,,,,,,,0.00156,0.00242,0.00401,0.0047,0.00609,0.00475,0.00646,0.0161,0.0192,0.0317,,0.0926,0.152,0.149,0.165,
Spain,,,0.186,1.13,2.99,4.99,7.87,11.5,15.1,17.7,19.8,21,22.7,23.8,24.5,26.1,27.8,29,30.2,31.3,32.2,32.9,34,34.9,35.8,37.2
Estonia,,,,1.26,3.37,6.59,10.2,13.2,18.3,19.8,22,23.5,26.1,26.3,26.4,27.4,28.2,29.7,31.5,32.5,33.4,33.9,34.3,37.4,39.7,35.3
Ethiopia,,,,,,80µ,50µ,80µ,0.00032,0.00125,0.00175,0.00397,0.00454,0.00682,0.00891,0.242,0.466,0.46,0.524,0.0574,,0.137,0.178,0.399,0.452,
Finland,,,0.676,2.58,5.26,9.42,15.3,22.4,27.1,30.6,30.5,29.3,29.1,29.8,30.4,31.6,32.2,31.6,31.2,31,31.5,32.5,33.4,33.6,34.3,35.3
Fiji,,,,,,,,0.793,0.955,1.28,1.44,1.41,2.55,2.55,1.48,1.19,1.35,1.39,1.34,1.32,2.08,2.34,2.52,2.52,2.53,
France,0.0232,0.0943,0.331,1,2.74,5.88,10.7,15.4,20.5,25.2,28.4,31.5,33.6,35.7,37.4,38.7,40.1,41.4,42.5,43.6,44.4,45.3,46.5,47.6,48.3,48.7
Faeroe Islands,,,,0.117,0.243,0.831,6.53,12.1,27.1,29.8,30.7,32.8,33.6,33.5,33.9,34.6,35.8,36.4,36.3,35.9,35.6,35.1,35.1,34.6,34.6,
"Micronesia, Fed. Sts.",,,,,,0.00534,0.0232,0.0413,0.0858,0.106,,,0.928,,,1.91,2.85,3.01,2.91,3.45,,4.53,5.41,5.38,5.82,
Gabon,,,,,,0.0123,0.0457,0.105,0.117,0.127,0.137,0.223,0.237,0.253,0.271,0.465,0.546,0.543,0.715,0.684,0.953,1.07,1.92,2.65,3.31,3.97
UK,,,0.0896,0.558,2.28,5.21,10.2,16.3,21.3,25.4,27.9,28.6,30.4,32.4,33.9,35.8,36.6,37.7,38.7,39.2,39.8,40,40.6,41.1,41.3,41.4
Georgia,,,,0.0102,0.0223,0.0345,0.0468,0.0594,0.676,1.18,2.85,3.83,4.68,6.42,12.1,13.6,15.8,16.8,18,20.5,22.6,24.7,25.5,26.6,28.3,29.3
Ghana,,,,,,,0.00412,0.00848,0.0553,0.0685,0.0948,0.114,0.204,0.25,0.255,0.251,0.25,0.255,0.295,0.189,0.2,0.187,0.246,0.352,0.625,0.555
Gibraltar,,,,,,,,,,,,30.2,33.4,35.6,37.4,,39.6,46.9,48.7,50.7,54.5,54.9,58.1,59.9,61,
Guinea,,,,,,,,,,,,,0.00481,0.00563,0.00641,0.00715,0.00784,0.0085,0.00911,0.0091,0.00955,0.00959,0.00748,0.00729,0.00628,
Gambia,,,,,,,0.00222,0.00426,,0.0152,0.0165,0.016,0.0182,0.022,0.0245,0.0208,0.127,0.161,0.164,0.171,0.185,0.204,0.199,0.194,0.216,
Guinea-Bissau,,,,,,,,,,,,,0.0511,0.0622,0.0728,0.0856,0.0801,0.0588,0.0484,0.0454,0.0626,0.0624,0.118,0.16,0.219,0.31
Equatorial Guinea,,,,,,,,0.019,0.0182,0.0174,0.0166,0.0158,0.0997,0.108,0.114,0.261,0.277,0.261,0.224,0.121,0.1,0.0599,0.107,0.0977,0.101,
